"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-19&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-19~ref_cpp-d121317a.5-62-AEO2018.3-19~co2fee15-d022318a.5-62-AEO2018.3-19~co2fee25-d022318a.5-62-AEO2018.3-19&map=&sourcekey=1"
"Fri Sep 28 2018 10:41:18 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",9.535902,9.103902,8.266901,6.7669,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,6.0169,"-1.2%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",9.535902,9.103902,8.266901,6.7669,5.9009,5.074901,5.074901,5.074901,4.694901,4.312901,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,4.0659,"-2.4%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",9.535902,9.103902,8.266901,6.7669,5.2499,4.3549,3.7259,3.7259,3.7259,3.7259,3.7259,3.7259,3.7259,3.7259,3.7259,3.7259,3.7259,3.2189,3.2189,3.2189,3.2189,3.2189,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,"-5.1%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",9.535902,9.103902,8.266901,6.7669,5.2499,4.4879,3.2189,3.2189,1.625,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0,0,0,0,0,"- -"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",1.938,2.113,2.113,2.113,1.647,1.647,1.647,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.601,1.381,1.381,1.381,1.381,1.381,1.381,"-1.3%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",1.938,2.113,2.113,2.113,1.493,1.493,1.493,1.447,1.447,1.447,1.447,1.447,1.372,1.372,1.372,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.664,0.664,0.664,"-3.4%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",1.938,2.113,2.113,2.113,1.867,1.647,1.647,1.601,1.601,1.601,1.447,1.447,1.447,1.447,1.447,1.447,1.447,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.292,0.292,0.292,0.292,"-5.8%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",1.938,2.113,2.113,2.113,1.867,1.647,1.647,1.601,1.447,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.889,0.513,0.513,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.072,0.072,0.072,0,0,"- -"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",16.879219,16.879219,16.879219,17.737219,17.64822,17.64822,17.64822,17.44162,17.44162,17.44162,17.44162,17.394035,17.394035,17.394035,17.509188,17.71348,17.71348,17.71348,17.71348,17.71348,17.71348,17.71348,17.71348,17.71348,17.71348,17.71348,17.71348,17.96521,19.043884,19.439398,19.439398,19.708246,20.053209,20.410515,20.950674,"0.7%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",16.879219,16.879219,16.879219,17.737219,17.64822,17.64822,17.64822,17.44162,17.44162,17.44162,17.44162,17.214621,17.214621,17.214621,17.214621,17.214621,17.214621,17.214621,17.214621,17.214621,17.214621,17.214621,17.477224,17.477224,17.643854,17.643854,17.643854,17.950624,17.950624,17.950624,17.950624,18.505764,19.2283,19.968792,20.968588,"0.7%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $15 carbon allowance fee,62-AEO2018.7.co2fee15-d022318a,"GW",16.879219,16.879219,16.879219,17.737219,17.64822,17.577219,17.577219,17.77141,17.77141,17.77141,17.77141,17.544409,17.544409,17.61067,18.14266,18.14266,18.368834,19.151415,19.191172,19.319515,19.494673,20.055077,21.215878,21.485744,21.485744,21.73786,21.73786,22.283308,22.283308,22.569872,22.569872,22.569872,22.005224,22.005224,22.005224,"0.8%"
