"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-1&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-1~ref_cpp-d121317a.5-62-AEO2018.3-1~co2fee15-d022318a.5-62-AEO2018.3-1~co2fee25-d022318a.5-62-AEO2018.3-1&map=&sourcekey=1"
"Fri Sep 28 2018 10:32:20 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",19.727001,19.727001,14.984001,14.144001,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,"-1.4%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",19.727001,19.727001,14.984001,14.144001,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.02,12.02,12.02,12.02,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,10.84,10.84,10.84,10.84,10.040001,"-2.0%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",19.727001,19.727001,14.984001,14.144001,12.455,10.478001,7.734,7.124001,7.124001,7.124001,7.124001,7.124001,7.124001,7.124001,7.124001,7.124001,6.465,5.235,5.235,5.235,5.235,5.235,5.235,5.235,5.235,4.675,4.675,4.675,4.675,4.675,4.675,4.025,3.39,3.39,3.39,"-5.2%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",19.727001,19.727001,14.984001,14.144001,12.455,10.677,8.539001,7.734,7.734,7.124001,6.465,5.235,5.235,5.235,5.235,5.235,5.235,4.675,4.675,4.675,4.675,4.025,4.025,4.025,4.025,4.025,4.025,4.025,4.025,3.39,2.45,2.45,2.45,2.45,2.45,"-6.1%"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",12.759001,12.759001,11.901001,11.901001,11.901001,11.745001,11.745001,11.021001,11.021001,11.021001,11.021001,10.601001,10.281,10.171,10.171,9.805,9.805,9.805,9.805,9.805,9.805,9.181001,9.181001,8.946001,8.946001,8.946001,8.946001,8.946001,8.946001,8.339001,8.339001,7.074,7.074,7.074,7.074,"-1.8%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",12.759001,12.759001,11.901001,11.901001,11.901001,11.814001,11.814001,11.814001,11.814001,11.814001,11.814001,11.394001,10.670001,10.560001,9.805,9.805,9.805,9.805,9.181001,9.181001,9.181001,8.946001,8.946001,8.946001,8.946001,8.946001,8.339001,8.339001,7.074,7.074,6.405001,6.405001,6.405001,6.405001,4.91,"-2.9%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",12.759001,12.759001,11.901001,11.901001,11.901001,11.745001,11.745001,11.631001,10.085999,9.479,9.479,9.059,9.059,8.949,8.949,8.949,9.608001,9.573,7.409,6.547,6.547,5.937,5.937,5.937,5.067,3.052,3.052,3.052,3.052,3.052,1.889,1.889,2.524,2.524,2.524,"-4.8%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",12.759001,12.759001,11.901001,11.901001,11.814001,11.745001,11.021001,11.021001,9.476,8.821,8.873,9.014,6.657001,6.547,5.937,5.937,5.937,5.527,5.527,5.067,5.067,5.067,4.259,4.259,4.259,4.259,3.052,2.475,0.653,0,0,0,0,0,0,"- -"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",33.30191,35.096611,35.096611,36.867912,37.728287,38.177258,38.177258,39.078426,39.775261,40.125374,40.56572,41.28685,41.802109,42.578911,44.111431,45.444603,46.114868,46.951115,47.572491,48.162064,49.73642,50.652439,51.528427,52.55537,52.580696,53.346695,54.800644,56.165131,57.06321,59.38945,61.859146,61.15572,61.614067,62.472515,64.352882,"1.9%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",33.30191,35.096611,35.096611,36.867912,38.339287,38.302288,39.093521,39.740871,39.740871,39.740871,39.740871,39.740871,39.740871,42.034782,43.48148,43.48148,44.156384,44.202084,46.132904,47.198841,48.61422,49.249687,50.525997,51.104851,51.398415,51.761959,52.622295,53.552937,53.95425,54.150265,56.039433,57.260822,58.602711,60.81213,62.229458,"1.8%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $15 carbon allowance fee,62-AEO2018.7.co2fee15-d022318a,"GW",33.30191,35.096611,35.096611,36.867912,36.791813,37.790607,40.804382,43.881226,46.504978,48.641998,47.638,47.810001,48.540142,49.113522,50.009029,50.009029,50.625187,52.589542,52.930584,53.391308,52.919109,52.919109,52.919109,55.038746,55.89249,56.356113,56.814045,57.087685,60.386845,61.501369,63.29221,62.587212,62.248249,62.248249,62.248249,"1.8%"
