"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-2&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-2~ref_cpp-d121317a.5-62-AEO2018.3-2~co2fee15-d022318a.5-62-AEO2018.3-2~co2fee25-d022318a.5-62-AEO2018.3-2&map=&sourcekey=1"
"Fri Sep 28 2018 10:32:31 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",9.207001,8.957001,6.939,6.939,6.939,6.597,5.996,5.247,5.247,5.247,5.247,5.247,5.247,5.247,5.247,5.015,5.015,4.722,4.722,4.722,4.722,4.722,4.722,4.722,4.722,4.722,4.722,4.722,4.722,4.722,4.722,4.722,4.722,4.722,4.722,"-1.9%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",9.207001,8.957001,6.939,6.939,6.939,6.597,5.701,5.408,5.115,5.115,5.056,5.056,5.056,5.056,5.056,4.824,4.824,4.824,4.824,4.824,4.824,4.824,4.824,4.824,4.824,4.824,4.824,4.824,4.824,4.824,4.824,4.824,4.824,4.824,4.824,"-1.9%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",9.207001,8.957001,6.939,6.939,6.597,5.98,5.54,3.815,2.48,1.984,1.984,0.562,0.562,0.562,0.562,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,"-9.5%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",9.207001,8.957001,6.939,6.939,6.597,5.98,5.103,3.645,2.043,2.043,1.331,0.562,0.562,0.562,0.562,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,"-9.5%"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",5.796401,6.1274,6.0514,5.5274,5.5274,5.3994,5.3244,5.3244,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,4.748,"-0.8%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",5.796401,6.1274,6.0514,5.5274,5.5274,5.4214,5.3244,5.3244,4.748,4.748,4.748,4.748,4.748,4.748,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,"-1.5%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",5.796401,6.1274,6.0514,5.5274,5.5274,5.3994,5.3244,5.3244,4.748,4.748,3.735,3.505,3.505,3.505,3.505,3.505,3.505,3.505,3.505,3.505,3.505,3.505,3.505,2.793,2.793,2.083,2.083,2.083,2.083,2.083,2.083,0.459,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",5.796401,6.1274,6.0514,5.5274,5.5274,5.3994,5.3244,5.3244,5.3244,3.096,2.083,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0,0,0,0,0,"- -"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",26.2283,26.2283,27.8685,29.5916,28.988602,28.762602,28.1618,27.972799,27.659,27.659,27.659,27.659,27.659,27.659,27.659,28.841825,28.841825,28.841825,28.841825,28.841825,28.841825,28.841825,28.841825,28.841825,29.178963,29.451941,30.330147,31.397173,32.628807,33.441765,34.468578,34.468578,35.461224,35.874271,35.874271,"1.0%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",26.2283,26.2283,27.8685,29.5916,28.988602,28.762602,28.475601,28.2866,28.2866,27.659,27.659,27.659,27.659,27.659,27.659,27.659,27.659,27.659,27.659,27.659,27.659,27.659,27.978893,28.330589,29.413273,30.197397,30.970757,31.020317,31.097202,32.41864,32.41864,33.112858,34.042446,34.282681,34.349289,"0.8%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $15 carbon allowance fee,62-AEO2018.7.co2fee15-d022318a,"GW",26.2283,26.2283,27.8685,29.5916,28.988602,28.762602,27.848001,27.848001,27.848001,27.809,27.809,27.809,27.809,27.809,27.846485,27.846485,27.846485,28.844254,29.166891,30.09124,31.54995,33.345562,34.584106,34.804611,35.3955,35.100502,35.100502,35.100502,35.100502,35.100502,34.668098,34.668098,33.730499,33.2285,33.2285,"0.7%"
