"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-4&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-4~ref_cpp-d121317a.5-62-AEO2018.3-4~co2fee15-d022318a.5-62-AEO2018.3-4~co2fee25-d022318a.5-62-AEO2018.3-4&map=&sourcekey=1"
"Fri Sep 28 2018 10:32:45 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",18.311504,18.105503,17.950603,17.700905,17.629904,17.491903,17.388704,16.624704,16.093103,16.068003,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,15.388004,"-0.5%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",18.311504,18.105503,17.950603,17.700905,17.629904,17.491903,17.454803,16.736204,16.068003,16.068003,15.388004,15.288004,15.165403,14.875704,14.775703,14.775703,14.775703,14.775703,14.775703,14.775703,14.775703,14.538704,14.538704,14.538704,14.538704,14.538704,14.538704,14.538704,14.538704,14.538704,14.538704,14.538704,14.538704,14.538704,14.538704,"-0.7%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",18.311504,18.105503,17.950603,17.700905,17.502504,16.591003,15.228703,14.546702,14.101702,12.330301,11.551202,11.551202,10.889902,10.889902,10.732202,10.732202,10.732202,9.931903,9.931903,9.931903,9.931903,9.268502,8.524601,8.524601,7.648602,7.137602,7.137602,7.137602,6.774102,5.635902,5.635902,4.935902,4.935902,4.425902,4.425902,"-4.2%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",18.311504,18.105503,17.950603,17.700905,17.502504,16.132004,15.376403,14.694402,11.863602,10.180502,8.261002,7.240003,6.534003,5.790102,5.090102,5.090102,5.090102,5.090102,3.7214,3.7214,3.7214,3.7214,2.8518,2.8518,2.8518,2.1876,1.5436,1.5436,1.5436,1.5436,0.8136,0,0,0,0,"- -"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",1.1909,1.0884,0.9963,1.1113,1.0869,0.7564,0.4822,0.5642,0.5642,0.5642,0.5642,0.5454,0.3914,0.3914,0.3374,0.3374,0.3374,0.3374,0.3374,0.3374,0.2554,0.2554,0.2554,0.2554,0.2554,0.2554,0.2554,0.2554,0.2554,0.2554,0.2324,0.2324,0.2275,0.2275,0.2275,"-4.6%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",1.1909,1.0884,0.9963,1.1113,1.0869,0.7564,0.5762,0.4634,0.3504,0.3094,0.3094,0.3094,0.3094,0.2554,0.2554,0.2554,0.2554,0.2554,0.2554,0.2554,0.2554,0.2554,0.2554,0.2554,0.2554,0.2324,0.2324,0.2324,0.2324,0.2324,0.2324,0.2324,0.1125,0.1125,0.1125,"-6.6%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",1.1909,1.0884,0.9963,1.1113,0.799,0.4224,0.2554,0.2554,0.2554,0.2554,0.2554,0.2554,0.2554,0.2554,0.2324,0.2324,0.2324,0.464399,0.464399,0.464399,0.236899,0.236899,0.9808,0.748801,0.748801,0.748801,0.748801,0.748801,0.748801,1.413001,1.413001,1.413001,1.408101,1.408101,1.318832,"0.6%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",1.1909,1.0884,0.9963,1.1113,0.799,0.4224,0.2554,0.2554,0.2554,0.1429,0.1199,0.0049,0.0049,0.748801,0.748801,0.748801,0.748801,0.748801,1.452503,1.452503,1.452503,1.452503,1.452503,1.353984,1.305428,1.305428,1.305428,1.305428,0.748801,0.748801,0.748801,0.730947,0.726047,0.034219,0.034219,"-10.0%"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",4.4532,5.1068,5.4668,5.6668,5.6365,5.6365,5.5461,5.5241,5.5241,5.4731,5.4731,5.4731,5.4731,5.4445,5.4445,5.4445,5.4445,5.4445,5.4445,5.4445,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,"0.1%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",4.4532,5.1068,5.4668,5.6668,5.6365,5.6365,5.5241,5.5241,5.4731,5.4731,5.4731,5.4445,5.4445,5.4445,5.4445,5.4445,5.4445,5.4445,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.3505,5.0895,"-0.0%"
