"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-5&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-5~ref_cpp-d121317a.5-62-AEO2018.3-5~co2fee15-d022318a.5-62-AEO2018.3-5~co2fee25-d022318a.5-62-AEO2018.3-5&map=&sourcekey=1"
"Fri Sep 28 2018 10:32:54 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",1.9553,0.9173,0.9173,0.9173,0.9173,0.8698,0.7139,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,"-2.6%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",1.9553,0.9173,0.9173,0.9173,0.9173,0.8698,0.8219,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,"-2.6%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",1.9553,0.9173,0.9173,0.9173,0.9173,0.9173,0.8219,0.7139,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,"-2.6%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",1.9553,0.9173,0.9173,0.9173,0.9173,0.9173,0.8219,0.7139,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0.3834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",5.1651,4.7301,4.7301,4.7301,4.6811,4.6811,4.5058,4.5058,4.5058,4.5058,4.5058,4.5058,4.5058,4.5058,4.5058,4.5058,4.5058,4.5058,4.5058,4.5058,4.1528,3.3419,2.7711,2.7711,2.7711,2.7711,2.7711,2.7711,2.3709,1.923,1.923,1.923,1.923,1.923,1.923,"-2.7%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",5.1651,4.7301,4.7301,4.7301,4.6811,4.6811,4.6811,4.1528,3.7528,3.7528,3.7528,3.7528,3.7528,3.7528,3.7528,3.7528,3.7528,3.7528,3.7528,3.7528,3.7528,2.9419,2.3711,2.3711,2.3711,2.3711,2.3711,2.3711,2.3711,2.3711,2.3711,1.9709,1.9709,1.523,1.523,"-3.4%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",5.1651,4.7301,4.7301,4.7301,4.6811,4.6811,4.6811,4.1528,3.7528,3.7528,3.7528,3.7528,2.9419,2.9419,2.9419,2.9419,2.9419,2.9419,2.9419,2.9419,2.9419,2.9419,2.9419,2.3711,2.3711,2.3711,1.9709,1.523,1.523,1.523,0.553,0.553,0.553,0.553,0.553,"-6.3%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",5.1651,4.7301,4.7301,4.7301,4.6811,4.6811,4.6811,4.5058,4.1058,3.7528,3.7528,3.7528,2.9419,2.9419,2.9419,2.9419,2.9419,2.3711,2.3711,2.3711,2.3711,2.3711,1.0009,1.0009,0.553,0.553,0.553,0.553,0.553,0,0,0,0,0,0,"- -"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",12.247104,12.977103,13.722103,13.722103,13.367704,12.839705,12.478703,12.478703,12.478703,12.478703,12.478703,12.478703,12.478703,12.470254,12.470254,12.506603,12.546576,12.679204,12.849398,12.849398,13.143174,13.995472,14.28631,14.28631,14.28631,14.375806,14.430195,14.430195,14.651861,14.735786,14.816574,14.86995,14.95249,15.015017,15.015017,"0.4%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",12.247104,12.977103,13.722103,13.722103,13.367704,12.839705,12.099853,12.099853,12.099853,11.972719,11.972719,11.972719,11.972719,11.972719,11.972719,11.972719,11.972719,11.972719,11.983414,11.983693,11.983693,12.616852,13.105033,13.492251,13.492251,13.492251,13.630429,13.865201,13.865201,13.989915,14.060412,14.060412,14.342935,14.786462,14.786462,"0.4%"
