"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-21&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-21~ref_cpp-d121317a.5-62-AEO2018.3-21~co2fee15-d022318a.5-62-AEO2018.3-21~co2fee25-d022318a.5-62-AEO2018.3-21&map=&sourcekey=1"
"Fri Sep 28 2018 10:41:54 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",11.817902,11.817902,11.817902,11.817902,11.599401,10.344401,9.476401,9.476401,9.476401,9.208401,8.538401,8.538401,8.538401,8.538401,8.538401,8.538401,7.876401,7.656401,7.656401,7.656401,7.656401,7.656401,7.656401,7.656401,7.656401,7.656401,7.656401,7.656401,7.656401,7.656401,7.656401,7.656401,7.656401,7.656401,7.656401,"-1.3%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",11.817902,11.817902,11.817902,11.817902,11.599401,10.344401,9.476401,9.476401,9.476401,9.208401,8.538401,8.538401,8.538401,8.538401,8.538401,8.538401,8.538401,8.538401,8.206402,8.206402,8.206402,8.206402,8.206402,8.206402,8.206402,8.206402,8.206402,8.206402,8.206402,8.206402,8.206402,8.206402,8.206402,8.206402,8.206402,"-1.1%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",11.817902,11.817902,11.817902,11.817902,11.599401,10.344401,8.688401,8.688401,7.948401,7.680401,7.010402,7.010402,7.010402,5.625401,5.295402,4.0774,0.531,0.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",11.817902,11.817902,11.817902,11.817902,11.634401,10.012402,7.496401,5.706401,4.955401,4.687401,4.017401,4.017401,4.017401,4.017401,4.017401,2.5844,1.9444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",0.6235,0.6235,0.5105,0.5105,0.273,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,"-7.3%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",0.6235,0.6235,0.5105,0.5105,0.273,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,"-7.3%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",0.6235,0.6235,0.5105,0.5105,0.273,0.16,0.948,0.948,0.948,0.948,0.948,0.948,0.948,2.001,2.001,2.748,2.182,1.652,1.147684,0.400684,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,"-7.3%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",0.6235,0.6235,0.5105,0.5105,0.273,0.16,1.808,2.858,3.609,3.609,3.609,3.609,3.609,3.609,3.609,3.609,3.609,0.575,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,"-7.3%"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",9.051201,9.051201,9.051201,9.051201,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,7.2578,6.7958,6.7958,6.7958,6.7958,6.7958,6.7958,6.1668,6.1668,6.1668,6.1668,6.1668,6.1668,6.1668,6.1668,6.1668,6.1668,6.1668,6.1668,"-1.2%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",9.051201,9.051201,9.051201,9.051201,8.4378,8.4378,8.4378,8.4378,8.4378,8.4378,8.4378,8.4378,8.4378,8.4378,8.4378,8.4378,7.2578,6.7958,6.7958,6.7958,6.7958,6.7958,6.7958,6.7958,6.7958,6.7958,6.7958,6.7958,6.158401,6.158401,6.158401,6.158401,6.158401,6.158401,6.158401,"-1.2%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $15 carbon allowance fee,62-AEO2018.7.co2fee15-d022318a,"GW",9.051201,9.051201,9.051201,9.051201,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,7.2578,6.7958,6.547801,6.547801,6.547801,6.547801,6.547801,6.547801,6.547801,6.547801,6.547801,6.547801,6.547801,6.539401,6.539401,6.539401,6.539401,6.539401,6.539401,"-1.0%"
