"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-7&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-7~ref_cpp-d121317a.5-62-AEO2018.3-7~co2fee15-d022318a.5-62-AEO2018.3-7~co2fee25-d022318a.5-62-AEO2018.3-7&map=&sourcekey=1"
"Fri Sep 28 2018 10:33:10 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.5807,1.5807,1.5807,"-1.2%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,"-0.5%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,"-1.2%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,2.3462,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.9664,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,"-1.2%"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",0.7178,0.7178,0.7178,0.7178,0.859847,1.27582,1.27582,1.22082,1.22082,1.19332,1.19332,1.19332,1.19332,1.19332,1.19332,1.19332,1.19332,1.19332,1.199822,1.221438,1.229504,1.238314,1.522294,1.552705,1.552705,1.666793,1.666793,1.584793,1.584793,1.688108,1.688108,1.850365,1.910011,1.960955,1.991133,"3.1%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",0.7178,0.7178,0.7178,0.7178,0.972842,1.166681,1.166681,1.166681,1.111681,1.111681,1.111681,1.111681,1.111681,1.111681,1.111681,1.111681,1.084181,1.084181,1.084181,1.084181,1.084181,1.002181,1.002181,1.00716,1.029781,1.029781,1.029781,1.27161,1.320071,1.320071,1.520065,1.5574,1.594907,1.616552,1.652921,"2.6%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $15 carbon allowance fee,62-AEO2018.7.co2fee15-d022318a,"GW",0.7178,0.7178,0.7178,0.7178,0.7178,0.80433,0.80433,0.80433,0.80433,0.80433,0.80433,0.72183,0.830224,0.830224,0.830224,0.844156,0.844156,0.844156,0.844156,0.844156,0.844156,0.844156,0.844156,1.018455,1.018455,1.018455,1.023777,1.023777,1.023777,0.894777,0.894777,0.894777,0.972285,0.972285,0.837885,"0.5%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $25 carbon allowance fee,62-AEO2018.7.co2fee25-d022318a,"GW",0.7178,0.7178,0.7178,0.7178,0.7178,0.746001,0.746001,0.746001,0.746001,0.746001,0.746001,0.663501,0.663501,0.663501,0.663501,0.663501,0.663501,0.663501,0.778792,0.85223,0.85223,0.77023,0.77023,0.72323,0.769137,0.886816,1.045496,0.911096,0.911096,0.911096,0.911096,0.911096,0.911096,0.911096,0.911096,"0.7%"
