"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-9&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-9~ref_cpp-d121317a.5-62-AEO2018.3-9~co2fee15-d022318a.5-62-AEO2018.3-9~co2fee25-d022318a.5-62-AEO2018.3-9&map=&sourcekey=1"
"Fri Sep 28 2018 10:33:46 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",13.834003,13.202003,13.202003,13.202003,12.821003,11.917002,11.166502,11.166502,11.166502,11.166502,11.166502,11.166502,11.166502,11.166502,10.861502,10.861502,10.861502,10.861502,10.861502,10.861502,10.861502,10.861502,10.226501,10.226501,10.226501,10.226501,10.226501,10.226501,10.226501,10.226501,10.226501,10.226501,10.226501,10.226501,10.226501,"-0.8%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",13.834003,13.202003,13.202003,13.202003,12.821003,11.833502,10.861502,10.861502,10.498503,10.498503,10.498503,10.487503,10.487503,10.487503,10.487503,10.487503,10.487503,10.487503,10.487503,9.2145,9.2145,9.2145,9.2145,9.2145,9.2145,9.2145,9.2145,9.2145,9.2145,9.2145,9.2145,9.2145,9.2145,9.2145,9.2145,"-1.1%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",13.834003,13.202003,13.202003,13.202003,12.737503,12.023502,11.833502,11.491503,10.181503,8.283502,8.283502,8.283502,8.283502,7.433501,6.5835,6.5835,4.3305,2.6305,2.6305,2.6305,2.6305,2.6305,2.6305,2.6305,2.6305,2.6305,2.6305,1.8785,1.8785,1.1265,1.1265,1.1265,1.1265,1.1265,1.1265,"-7.2%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",13.834003,13.202003,13.202003,13.202003,12.821003,12.023502,11.833502,11.185503,10.517502,8.2965,6.3685,4.2455,4.2455,3.6495,3.0405,2.2885,2.2885,1.1265,1.1265,1.1265,1.1265,1.1265,1.1265,1.1265,1.1265,1.1265,1.1265,1.1265,1.1265,1.1265,1.1265,1.1265,1.1265,1.1265,1.1265,"-7.2%"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",6.4045,5.805,5.3602,5.4107,5.0307,4.3207,4.9742,4.5942,4.4412,4.4412,4.4412,4.3152,4.3152,3.6482,3.6482,2.4842,2.4842,2.4842,2.4842,2.45915,1.9005,1.9005,1.9005,1.9005,1.9005,1.9005,1.9005,1.9005,1.9005,1.9005,1.9005,1.9005,1.9005,1.9005,1.9005,"-3.3%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",6.4045,5.805,5.3602,5.4107,5.0307,4.3207,4.5107,4.2317,4.5947,4.5947,4.2637,4.2637,4.2637,4.2637,4.2637,2.7637,2.7637,2.4007,2.4007,2.4007,2.4007,2.4007,2.4007,2.4007,2.4007,2.4007,2.4007,2.4007,1.9005,1.9005,1.9005,1.9005,1.9005,1.9005,1.9005,"-3.3%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",6.4045,5.805,5.3602,5.4107,5.0307,4.3207,3.7177,3.5647,2.4007,4.1955,4.1955,4.1955,4.1955,3.5605,3.0395,3.0395,3.0395,4.7395,4.7395,3.9975,3.9975,3.9975,3.9975,3.9975,3.9975,3.9975,3.9975,3.9975,3.89261,3.86116,2.61416,0.342195,0.2005,0.2005,0.2005,"-9.7%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",6.4045,5.805,5.3602,5.4107,4.6507,4.6507,3.7177,3.5647,2.4007,2.8185,4.0135,4.8635,4.8635,4.3425,4.3425,5.094501,4.3525,4.3525,4.3525,4.3525,4.3525,4.3525,4.3525,4.3525,2.61416,2.09464,1.9005,1.9005,1.9005,1.9005,0.2005,0.2005,0.2005,0.2005,0.2005,"-9.7%"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",17.799801,19.6394,25.070702,25.8867,25.387302,25.3605,25.3605,25.3605,25.3605,25.3605,25.3605,25.3605,25.3605,25.882086,27.088062,27.505104,27.589365,27.774992,28.061935,28.279568,28.550903,28.256905,28.236702,28.091702,28.091702,28.18169,28.18169,28.284973,28.822275,29.868185,31.034275,31.316792,31.855186,32.008701,32.133121,"1.5%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",17.799801,19.6394,25.070702,25.8867,25.387302,25.287102,25.287102,25.287102,25.287102,25.287102,25.287102,25.287102,25.287102,25.287102,25.287102,25.287102,26.248661,25.954662,25.954662,25.954662,26.078033,26.159767,26.318289,26.628307,26.926748,27.549013,29.115374,28.905375,27.371176,27.371176,27.818384,29.957066,30.612259,30.612259,30.612259,"1.4%"
