"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-10&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-10~ref_cpp-d121317a.5-62-AEO2018.3-10~co2fee15-d022318a.5-62-AEO2018.3-10~co2fee25-d022318a.5-62-AEO2018.3-10&map=&sourcekey=1"
"Fri Sep 28 2018 10:37:55 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",8.975304,8.975304,8.975304,8.975304,8.927803,8.102902,8.102902,5.238501,5.238501,5.238501,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,"-1.7%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",8.975304,8.975304,8.975304,8.975304,8.927803,8.102902,8.102902,5.238501,5.238501,5.238501,5.084001,5.084001,5.084001,5.084001,5.084001,5.084001,4.826001,4.826001,4.826001,4.826001,4.826001,4.826001,4.826001,4.826001,4.826001,4.826001,4.826001,4.826001,4.826001,4.826001,4.826001,4.826001,4.826001,4.826001,4.826001,"-1.9%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",8.975304,8.975304,8.975304,8.975304,8.927803,8.102902,8.102902,5.238501,5.238501,5.238501,4.826001,4.699001,4.699001,4.699001,4.699001,4.699001,4.699001,4.569001,4.569001,4.569001,4.569001,1.839,1.839,1.839,1.839,1.58,1.58,1.58,0.818,0.06,0.06,0.06,0.06,0.06,0.06,"-14.1%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",8.975304,8.975304,8.975304,8.975304,8.927803,8.102902,8.102902,5.238501,4.723501,4.723501,4.569001,1.081,1.081,1.081,1.081,1.081,1.081,1.081,1.081,1.081,1.081,1.081,0.319,0.319,0.319,0.319,0.319,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,"-14.1%"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",2.313,2.107,2.107,2.107,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,"-0.1%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",2.313,2.107,2.107,2.107,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,"-0.1%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",2.313,2.107,2.107,2.107,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.808,2.808,2.808,2.808,2.808,2.808,2.808,2.035,2.793,2.793,2.793,2.793,2.035,2.035,"-0.1%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",2.313,2.107,2.107,2.107,2.035,2.035,2.035,2.035,2.035,2.035,2.035,3.566,3.566,3.566,3.566,3.566,3.566,3.566,2.808,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,2.035,1.035,1.035,1.035,1.035,1.035,0.25,0.25,"-6.3%"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",4.2987,4.4258,4.4258,4.6538,4.6538,4.6538,5.134364,7.825992,8.171936,8.171936,8.231241,8.306927,8.369772,8.440111,8.503113,8.583374,8.583374,8.588196,8.66781,8.731152,8.797851,8.891466,8.99264,9.071714,9.071714,9.181026,9.181026,9.256666,9.195179,9.543486,10.157333,10.230579,10.314686,10.409407,10.500553,"2.7%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",4.2987,4.4258,4.4258,4.6538,4.6538,4.6538,5.031436,7.90799,7.960127,7.988863,7.988863,7.988863,7.988863,7.988863,8.140207,8.140207,8.140207,7.593208,7.593208,7.662573,7.735713,7.81181,7.901004,7.990914,8.084753,8.232819,8.358137,8.358137,8.445109,9.499598,10.210379,10.52245,10.607677,10.698717,10.754282,"2.7%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $15 carbon allowance fee,62-AEO2018.7.co2fee15-d022318a,"GW",4.2987,4.4258,4.4258,4.6538,4.6538,4.6538,4.6538,7.095721,7.864286,7.496958,7.869537,7.898229,7.898229,8.043722,8.564404,8.564404,8.564404,9.583344,9.583344,9.68894,9.977211,10.213058,10.28632,10.298325,10.319098,10.356188,10.41538,10.638567,11.28167,11.28167,11.28167,11.346842,11.346842,11.346842,11.346842,"2.9%"
