"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-11&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-11~ref_cpp-d121317a.5-62-AEO2018.3-11~co2fee15-d022318a.5-62-AEO2018.3-11~co2fee25-d022318a.5-62-AEO2018.3-11&map=&sourcekey=1"
"Fri Sep 28 2018 10:38:26 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",57.257404,55.907406,52.519405,51.650402,49.962303,49.006802,47.800804,47.800804,47.310802,47.220806,47.220806,47.220806,47.220806,47.220806,47.220806,47.220806,47.220806,47.220806,47.220806,47.220806,47.220806,47.220806,47.220806,47.220806,47.220806,47.212803,47.212803,47.212803,47.212803,47.212803,47.212803,47.212803,47.212803,47.212803,47.212803,"-0.5%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",57.257404,55.907406,52.519405,51.650402,49.962303,49.006802,46.566803,45.986805,45.496803,45.406803,45.406803,44.786106,44.563602,43.551601,40.438602,40.438602,39.8736,39.8736,39.8736,39.8736,39.8736,39.678101,39.038101,39.030102,39.030102,38.080704,38.080704,38.080704,38.080704,38.080704,38.080704,38.080704,38.080704,38.080704,38.080704,"-1.2%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",57.257404,55.907406,52.519405,51.650402,49.962303,48.597301,46.460804,42.905605,37.899601,32.944599,29.142601,28.295799,27.527002,24.846003,22.961,22.961,22.953001,21.603001,21.603001,21.024,20.394003,19.072002,18.077002,17.498003,17.498003,17.498003,17.498003,16.868002,16.099001,15.330001,15.330001,15.330001,15.330001,15.330001,15.330001,"-3.8%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",57.257404,55.907406,52.519405,51.650402,49.507504,48.147602,45.668903,42.772305,37.607101,32.006798,26.003002,22.027002,19.700003,18.893002,17.693003,16.698002,16.068001,15.299001,15.299001,15.299001,15.299001,14.530001,14.530001,14.530001,14.530001,13.896,13.896,13.896,13.896,13.896,13.896,13.896,13.896,13.896,13.896,"-4.1%"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",2.0234,2.0234,2.0234,2.1334,1.6924,0.8344,1.4504,1.4504,1.4324,0.9724,0.9724,0.9724,0.9724,0.9724,0.9724,0.9724,0.9724,0.9724,0.9724,0.9724,0.9724,0.9724,0.9724,0.9724,0.9724,0.9724,0.9724,0.9724,0.9724,0.3564,0.3564,0.3564,0.3564,0.3564,0.3564,"-5.1%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",2.0234,2.0234,2.0234,2.1334,1.6924,0.8344,0.8344,0.8344,0.3564,0.3564,0.3564,0.9771,0.9771,0.9771,0.9771,0.3564,0.9214,0.9214,0.9214,0.9214,0.9214,0.3564,0.3564,0.3564,0.3564,0.3564,0.3564,0.3564,0.3564,0.3564,0.3564,0.3564,0.3564,0.3564,0.3564,"-5.1%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",2.0234,2.0234,2.0234,2.1334,1.4524,0.8344,0.8344,0.3744,0.3564,0.7314,1.9194,1.9194,1.9194,1.9194,0.7314,0.3564,0.3564,0.3564,0.3564,0.3564,0.3564,1.0564,2.0514,2.6304,2.6304,2.6304,1.6354,1.0564,1.8254,1.8254,1.8254,1.8254,1.0564,1.0564,1.0564,"-2.0%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",2.0234,2.0234,2.0234,2.1334,1.4524,0.8344,0.8344,0.3744,0.3564,0.3564,0.3564,0.9504,0.9504,0.9504,1.6504,2.0514,2.0514,2.8204,2.8204,1.8254,1.8254,1.0564,1.0564,1.0564,1.0564,1.6904,1.6904,1.6904,1.6904,1.6904,1.6904,1.0564,0.3564,0.3564,0.3564,"-5.1%"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",11.766101,13.2963,16.903301,17.482801,17.482801,17.482801,17.482801,17.482801,18.453306,18.703791,18.703791,19.273891,19.840771,20.240784,20.72744,21.508812,21.590164,21.83218,21.94924,22.073071,22.450727,23.318148,24.127291,24.695807,25.301809,25.845154,26.445684,27.145779,27.920658,29.239775,29.239775,29.624159,30.354765,30.805164,32.220741,"2.7%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",11.766101,13.2963,16.903301,17.482801,17.482801,17.482801,17.482801,17.482801,18.71431,19.090103,19.632549,19.9086,20.501616,22.420593,25.801012,26.012255,26.36619,26.853603,27.368139,27.981634,28.791668,29.689054,31.079775,31.628225,32.363548,33.728466,34.280224,34.291107,34.359283,34.734009,34.9459,35.599678,35.812351,35.829765,37.932709,"3.2%"
