"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-17&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-17~ref_cpp-d121317a.5-62-AEO2018.3-17~co2fee15-d022318a.5-62-AEO2018.3-17~co2fee25-d022318a.5-62-AEO2018.3-17&map=&sourcekey=1"
"Fri Sep 28 2018 10:40:22 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",8.092601,7.906601,7.906601,7.488301,7.391201,7.391201,7.1512,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,6.7871,"-0.5%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",8.092601,7.906601,7.906601,7.488301,7.391201,7.391201,7.1512,6.7871,6.7871,6.7221,6.7221,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,6.6181,"-0.5%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",8.092601,7.906601,7.906601,7.488301,7.391201,7.1512,7.0472,6.6831,6.6831,6.6831,6.6831,6.2593,5.3533,5.3533,5.3533,5.3533,5.3533,4.625299,4.625299,4.625299,4.625299,4.625299,4.625299,3.1782,2.8082,2.2442,2.2442,2.2442,2.2442,2.2442,2.2442,2.2442,2.2442,2.2442,2.2442,"-3.7%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",8.092601,7.906601,7.906601,7.488301,7.391201,7.1512,7.0472,6.6831,6.4851,5.7571,5.6921,5.6921,4.984099,4.4201,4.4201,4.4201,1.5819,1.5819,1.5819,1.5819,1.5819,1.5819,1.5819,1.5819,1.5819,1.5819,1.5819,0.8815,0,0,0,0,0,0,0,"- -"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",1.6055,1.6055,1.6055,1.6055,1.1928,0.9078,0.57,0.57,0.57,0.047,0.047,0.047,0.047,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,"-16.1%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",1.6055,1.6055,1.6055,1.6055,1.3297,0.9598,0.57,0.57,0.047,0.047,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,"-16.1%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",1.6055,1.6055,1.6055,1.6055,1.1928,1.1001,0.5278,0.5278,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,"-16.1%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",1.6055,1.6055,1.6055,1.6055,1.1928,1.1928,0.6756,0.6756,0.0048,0.0048,0.0048,0.0048,0.0048,0.5688,0.5688,0.5688,1.2311,0.6671,0.6671,0.6671,0.33595,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,"-16.1%"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,"0.0%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.614799,1.490699,1.380299,"-0.5%"
