"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-18&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-18~ref_cpp-d121317a.5-62-AEO2018.3-18~co2fee15-d022318a.5-62-AEO2018.3-18~co2fee25-d022318a.5-62-AEO2018.3-18&map=&sourcekey=1"
"Fri Sep 28 2018 10:40:43 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",11.104399,11.104399,11.021399,10.016899,9.526899,9.006899,9.006899,9.006899,9.006899,9.006899,9.006899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,"-0.8%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",11.104399,11.104399,11.021399,10.016899,9.526899,9.006899,9.006899,9.006899,9.006899,9.006899,9.006899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,8.546899,"-0.8%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",11.104399,11.104399,11.021399,10.016899,9.526899,9.006899,9.006899,9.006899,8.766899,8.766899,7.7259,6.743899,6.743899,6.031899,5.6929,5.6929,5.6929,5.2529,4.912899,4.418999,4.418999,4.418999,3.698,3.698,3.698,2.529,2.529,2.001,1.726,1.726,1.387,1.387,1.387,0.855,0.32,"-10.2%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",11.104399,11.104399,11.021399,10.016899,9.526899,9.006899,9.006899,8.766899,8.245899,7.7259,5.7129,3.502999,2.782,2.782,2.782,2.782,2.782,1.915,1.915,1.387,0.855,0.855,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,"-10.2%"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",10.485701,10.485701,10.114201,10.965701,10.856701,10.6667,9.789701,8.4017,8.1287,7.6017,7.4187,7.4187,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,7.3847,"-1.1%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",10.485701,10.485701,10.114201,10.965701,10.856701,10.6667,9.789701,8.4017,7.1242,6.7872,6.6042,6.6042,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,6.5702,"-1.4%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",10.485701,10.485701,10.114201,10.965701,10.856701,10.344701,9.789701,9.6827,8.240701,5.3657,4.7782,4.7782,4.7442,4.7442,4.7442,4.7442,4.5305,4.5305,4.5305,4.6917,4.6917,3.7827,3.3117,3.3117,3.1997,4.3687,4.3687,4.3687,4.3687,4.3687,4.3687,4.3687,2.7117,3.2437,3.7787,"-3.0%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",10.485701,10.485701,10.114201,10.965701,10.856701,10.039701,9.673701,8.8197,7.2362,5.3657,4.7782,5.9131,5.5464,5.5464,5.5464,4.6917,4.6917,4.6917,3.7827,3.6707,4.2027,4.2027,4.2517,4.2517,4.2517,4.2517,4.2517,3.7807,3.2868,2.7548,2.7548,2.2198,2.2198,2.2198,2.2198,"-4.6%"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",8.712701,9.2291,9.277,9.277,9.232901,8.932101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,8.855924,8.855924,8.855924,8.855924,8.855924,8.855924,8.855924,8.855924,8.855924,8.855924,9.271348,9.271348,9.441605,9.441605,9.441605,9.441605,9.52676,9.838824,10.273627,10.273627,"0.3%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",8.712701,9.2291,9.277,9.277,9.232901,8.932101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,8.696101,9.25618,9.25618,9.25618,9.25618,9.25618,9.25618,9.25618,9.25618,9.25618,9.25618,9.25618,9.25618,"0.0%"
