"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-15&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-15~ref_cpp-d121317a.5-62-AEO2018.3-15~co2fee15-d022318a.5-62-AEO2018.3-15~co2fee25-d022318a.5-62-AEO2018.3-15&map=&sourcekey=1"
"Fri Sep 28 2018 10:39:46 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",22.0418,20.8118,20.383802,20.383802,19.545801,18.192001,17.333002,15.519001,14.373,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,13.936,"-1.2%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",22.0418,20.8118,20.383802,20.383802,19.545801,18.192001,17.343,15.519001,15.519001,15.519001,15.069001,14.895,14.895,14.721,14.458,14.458,14.458,14.458,14.458,14.458,14.458,14.458,14.458,14.458,14.458,14.458,14.458,14.458,14.458,14.458,14.458,14.458,14.458,14.458,14.458,"-1.1%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",22.0418,20.8118,20.383802,20.383802,19.283001,18.059,16.523001,14.28,11.842,9.459001,7.217,4.333,4.333,3.463,3.297,2.857,2.857,2.586,2.586,2.586,2.586,2.012,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,0.732,0.732,"-9.6%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",22.0418,20.8118,20.383802,20.383802,19.283001,18.059,16.582001,14.296,12.204,9.351,6.486001,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,0.732,0.732,0.732,0.732,0.732,0,0,0,0,0,0,0,0,0,"- -"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.732,0.732,0.732,0.732,0.094282,0,0,0,0,"- -"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",9.218999,10.318999,10.318999,10.318999,10.318999,10.318999,9.594,9.594,9.594,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,9.231303,9.482026,9.482026,9.482026,9.482026,9.719404,9.76957,10.638877,"0.1%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",9.218999,10.318999,10.318999,10.318999,10.318999,10.318999,9.594,9.594,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.718,8.75966,8.981833,8.981833,8.981833,8.981833,8.981833,8.981833,9.362259,9.809353,10.841631,"0.1%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $15 carbon allowance fee,62-AEO2018.7.co2fee15-d022318a,"GW",9.218999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.568377,11.267886,12.0911,12.0911,13.082855,13.611944,13.961711,14.149296,14.56726,14.541777,14.541777,14.939158,14.939158,14.939158,14.939158,15.044545,14.997984,15.653644,16.301506,"1.4%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $25 carbon allowance fee,62-AEO2018.7.co2fee25-d022318a,"GW",9.218999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.318999,10.391113,10.391113,11.532506,12.239305,12.472083,12.660744,13.044488,13.131613,12.889171,13.829534,14.878798,14.878798,15.431327,15.111327,15.371324,15.371324,15.371324,15.592856,16.175556,14.896556,"1.1%"
Combustion Turbine/Diesel,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel",62-AEO2018.8.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
