"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-12&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-12~ref_cpp-d121317a.5-62-AEO2018.3-12~co2fee15-d022318a.5-62-AEO2018.3-12~co2fee25-d022318a.5-62-AEO2018.3-12&map=&sourcekey=1"
"Fri Sep 28 2018 10:38:52 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",5.718,5.138,5.138,5.138,5.138,5.138,5.138,5.138,5.138,5.138,5.138,4.3225,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,"-1.2%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",5.718,5.138,5.138,5.138,5.138,5.138,5.138,5.138,5.138,5.138,5.138,4.3225,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,3.507,"-1.2%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",5.718,5.138,5.138,5.138,5.138,5.138,5.138,4.588,4.588,4.588,4.588,3.7725,2.957,2.957,2.121,2.121,2.121,2.121,2.121,2.121,2.121,2.121,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,"-6.3%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",5.718,5.138,5.138,5.138,5.138,5.138,5.138,4.588,4.588,4.588,4.588,2.0945,1.279,1.279,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",11.207,9.898,9.898,9.898,9.5603,9.4383,9.013599,9.013599,8.8796,8.654,8.654,8.434,8.434,8.434,8.434,8.434,8.434,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,"-0.7%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",11.207,9.898,9.898,9.898,9.5603,9.4383,9.013599,8.8796,8.659599,8.434,8.434,8.434,7.932,7.932,7.932,7.4123,7.4123,7.4123,7.4123,7.4123,7.4123,7.4123,7.4123,7.4123,7.4123,7.4123,7.4123,7.4123,7.4123,7.4123,7.4123,7.4123,7.4123,7.4123,7.4123,"-0.9%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",11.207,9.898,9.898,9.898,9.5603,8.9927,8.568,8.984,7.8243,7.412601,6.591301,6.204926,6.041301,6.041301,5.3793,5.3793,5.3793,5.3793,4.0579,4.0579,4.0579,4.0579,5.569901,5.569901,5.569901,5.569901,4.727901,4.727901,4.727901,4.727901,4.727901,4.727901,3.1461,2.6264,2.6264,"-3.9%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",11.207,9.898,9.898,9.898,9.5603,8.9927,8.568,8.846,7.8243,7.412601,7.412601,4.1548,4.1548,4.1548,4.8248,4.8248,4.8248,4.8248,4.8248,4.8248,4.8248,4.8248,4.8248,4.8248,4.8248,3.5034,3.5034,3.5034,3.5034,3.5034,2.9837,2.694595,2.3137,2.3137,2.3137,"-4.3%"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",9.772951,9.772951,10.825051,12.384051,12.172251,12.172251,12.172251,12.260954,13.668787,13.985753,15.365705,15.365705,16.206038,16.613766,16.956154,17.376677,17.563656,17.563656,17.563656,17.563656,18.153341,18.293537,18.800423,19.206915,19.694876,21.510855,22.097239,22.356333,22.61799,22.61799,22.708704,22.819523,23.133732,23.243372,23.291725,"2.7%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",9.772951,9.772951,10.825051,12.384051,12.172251,12.172251,12.172251,12.172251,12.184103,12.215675,13.63591,13.63591,14.767666,15.112354,15.443846,15.470952,15.470952,15.470952,15.002113,15.020059,15.416029,16.177137,16.845495,17.307371,17.739008,17.96398,18.920446,19.074854,19.074854,19.635429,20.183205,20.707512,21.210169,21.367363,21.9104,"2.5%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $15 carbon allowance fee,62-AEO2018.7.co2fee15-d022318a,"GW",9.772951,9.772951,10.825051,12.384051,12.269551,12.172251,12.172251,12.647245,12.647245,13.589288,14.281241,14.83561,16.106695,17.437357,18.7929,18.7929,18.798281,19.438957,19.438957,19.438957,19.438957,19.438957,19.438957,19.438957,19.438957,19.438957,19.72954,19.72954,20.484631,20.979561,21.341911,21.782705,21.948793,22.893845,23.484207,"2.7%"
