"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-13&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-13~ref_cpp-d121317a.5-62-AEO2018.3-13~co2fee15-d022318a.5-62-AEO2018.3-13~co2fee25-d022318a.5-62-AEO2018.3-13&map=&sourcekey=1"
"Fri Sep 28 2018 10:39:15 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",13.752239,13.752239,13.752239,13.752239,13.73024,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,13.440239,"-0.1%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",13.752239,13.752239,13.752239,13.752239,13.73024,13.440239,12.710239,12.710239,12.710239,12.710239,12.57224,12.57224,12.57224,12.57224,12.14024,12.14024,12.14024,11.981239,11.981239,11.981239,11.981239,11.981239,11.981239,11.981239,11.981239,11.981239,11.981239,11.981239,11.981239,11.981239,11.981239,11.981239,11.981239,11.981239,11.981239,"-0.4%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",13.752239,13.752239,13.752239,13.752239,13.73024,13.11424,12.88824,12.147241,11.022241,9.930241,9.930241,9.930241,9.930241,9.930241,9.930241,9.930241,9.930241,9.67124,9.67124,7.76624,7.76624,7.55824,7.31324,5.841239,5.24824,4.655239,3.469239,3.469239,3.469239,3.469239,2.848239,2.848239,1.991999,0.59,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",13.752239,13.752239,13.752239,13.752239,13.752239,13.11424,12.78424,11.988241,10.894239,9.65924,8.153239,7.55824,7.55824,7.55824,6.401239,5.563239,3.163239,3.163239,2.848239,1.991999,1.991999,1.991999,1.401999,0.811999,0.811999,0.811999,0.811999,0,0,0,0,0,0,0,0,"- -"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",0.0662,0.0662,0.0662,0.0662,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,"-8.9%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",0.0662,0.0662,0.0662,0.0662,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,"-8.9%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",0.0662,0.0662,0.0662,0.0662,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.003,0.003,0.003,0.003,"-8.9%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",0.0662,0.0662,0.0662,0.0662,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,"-8.9%"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,"0.0%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,"0.0%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $15 carbon allowance fee,62-AEO2018.7.co2fee15-d022318a,"GW",1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.1492,1.286855,1.301503,2.183084,2.346717,2.88217,3.068273,4.088686,4.088686,4.66802,5.661308,5.970046,5.970046,5.970046,5.970046,6.034895,6.11306,6.11306,6.11306,"5.2%"
