"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-16&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-16~ref_cpp-d121317a.5-62-AEO2018.3-16~co2fee15-d022318a.5-62-AEO2018.3-16~co2fee25-d022318a.5-62-AEO2018.3-16&map=&sourcekey=1"
"Fri Sep 28 2018 10:40:03 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",20.496401,20.287401,20.035799,19.657801,18.0264,17.0394,15.8894,14.812401,12.088,12.088,12.088,12.088,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,"-1.7%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",20.496401,20.287401,20.035799,19.657801,18.0264,17.0394,15.8894,14.812401,12.088,12.088,12.088,12.088,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,11.572,"-1.7%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",20.496401,20.287401,20.035799,19.657801,18.301399,16.5669,15.191401,13.547,10.812,8.538,7.439001,6.085001,5.199,3.719,2.875,2.875,2.217,2.217,2.217,2.217,2.217,1.107,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.032,"-17.8%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",20.496401,20.287401,20.035799,19.657801,18.370399,16.5569,14.218901,12.876,10.212001,7.641,6.085001,1.948,0.692,0.692,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,"-17.8%"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",2.634,2.634,2.634,2.634,2.407,2.407,2.142,1.892,2.1304,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,1.0244,"-2.8%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",2.634,2.634,2.634,2.634,2.407,2.407,2.142,1.892,2.1304,1.0244,1.0244,1.0244,1.0244,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,0.2384,"-7.0%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",2.634,2.634,2.634,2.634,2.634,2.407,2.142,1.892,1.576,1.576,0,0,0,1.11,1.11,1.11,1.768,1.768,1.768,1.768,1.768,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,"0.3%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",2.634,2.634,2.634,2.634,2.634,2.407,2.142,1.892,1.576,1.576,0,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.878,2.22,2.22,1.11,0,0,0,0,"- -"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",13.983902,15.510901,17.581902,18.168301,17.868301,17.075502,17.075502,16.994301,17.920662,18.970423,20.32995,20.808268,21.273485,21.776831,23.001654,23.837755,24.386473,24.386473,24.480932,24.233131,24.548996,24.965633,25.603523,25.699574,25.860357,26.296892,27.059433,27.947792,28.705332,29.090084,29.324642,30.078688,30.479567,31.986727,33.240387,"2.3%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",13.983902,15.510901,17.581902,18.168301,17.868301,17.203501,17.075502,16.994301,16.994301,18.31419,19.837376,20.197302,20.555189,21.500948,21.990774,22.359072,22.359072,22.359072,22.862169,22.72537,22.781956,22.781956,23.219778,23.635893,23.635893,24.548059,24.950487,25.51779,25.587584,25.71208,28.263788,29.18911,29.859886,29.93281,30.473639,"2.1%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $15 carbon allowance fee,62-AEO2018.7.co2fee15-d022318a,"GW",13.983902,15.510901,17.581902,18.168301,17.868301,17.868301,17.203501,16.994301,17.364929,19.973721,22.281717,23.668192,24.852072,25.359758,25.978231,25.978231,25.800898,26.183599,26.183599,26.183599,26.183599,26.183599,26.183599,26.183599,26.183599,26.893362,27.595291,27.595291,27.812857,28.576975,28.576975,28.821253,29.022009,29.022009,28.968008,"1.9%"
