"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-0&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-0~ref_cpp-d121317a.5-62-AEO2018.3-0~co2fee15-d022318a.5-62-AEO2018.3-0~co2fee25-d022318a.5-62-AEO2018.3-0&sourcekey=1"
"Fri Sep 28 2018 10:32:09 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Net Summer Electricity Generating Capacity,,62-AEO2018.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(gigawatts),,62-AEO2018.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,62-AEO2018.4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Capacity: Coal",62-AEO2018.5.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Coal": Reference case,62-AEO2018.5.ref2018-d121317a,"GW",263.703461,257.54068,245.453171,239.899292,230.99469,222.90097,216.936249,207.597244,202.185349,198.835052,196.156052,194.405563,193.074051,193.074051,192.769043,192.537048,191.875061,191.362061,191.362061,191.362061,191.362061,191.362061,190.727051,190.727051,190.727051,190.71904,190.71904,190.71904,190.71904,190.71904,190.71904,190.71904,190.71904,190.71904,190.71904,"-0.9%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Coal": Reference case with Clean Power Plan,62-AEO2018.5.ref_cpp-d121317a,"GW",263.703461,257.54068,245.453171,239.899292,230.903687,221.900482,213.104401,203.788788,198.50705,194.696869,191.69487,188.50766,186.831055,183.379364,178.207047,177.975052,177.152039,176.403046,176.071045,174.798035,174.798035,174.36554,173.72554,173.717529,173.717529,172.768127,172.768127,172.768127,172.768127,172.768127,172.178131,172.178131,172.178131,172.178131,171.378128,"-1.2%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $15 carbon allowance fee,62-AEO2018.5.co2fee15-d022318a,"GW",263.703461,257.54068,245.453171,239.899292,229.098984,215.003082,201.866791,185.358673,166.806747,147.261444,134.208862,119.553963,115.006355,107.028351,100.882141,98.992142,91.867744,83.613441,82.742447,79.764542,79.134552,72.527145,63.920345,60.422249,58.583248,54.927246,53.741245,51.479248,47.892048,44.474846,42.411247,40.491245,39.000004,35.855003,34.070004,"-5.9%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Coal": $25 carbon allowance fee,62-AEO2018.5.co2fee25-d022318a,"GW",263.703461,257.54068,245.453171,239.899292,229.115677,214.105392,198.749054,180.395065,156.920837,133.164749,109.200943,78.080948,70.860451,67.339546,61.686546,57.436546,49.674946,43.802544,40.978844,39.0233,38.107903,35.987904,33.2313,30.705702,30.325701,29.027502,27.651499,25.880102,24.998602,24.3636,22.278601,21.465,21.465,20.715,20.715,"-7.4%"
Oil and Natural Gas Steam 3,,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam",62-AEO2018.6.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case,62-AEO2018.6.ref2018-d121317a,"GW",89.510506,84.3675,81.568108,80.630302,77.225807,71.751511,69.465012,63.986607,61.41711,57.935501,57.752499,56.967701,56.459698,55.640499,55.586502,54.056499,53.619801,52.738003,52.683002,52.485649,51.492001,50.057098,49.486301,49.251301,49.251301,49.251301,49.251301,49.251301,48.851101,46.960201,46.937199,45.672199,45.281601,45.281601,45.281601,"-1.9%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.6.ref_cpp-d121317a,"GW",89.510506,84.3675,81.568108,80.630302,77.20871,71.740509,68.603806,63.059307,58.419304,56.069698,53.6688,53.869503,52.534504,51.584503,49.816502,46.389301,46.674007,46.256004,45.632004,45.632004,45.632004,44.021103,43.450306,43.450306,43.305305,43.282307,42.675304,42.675304,40.910103,40.910103,40.241104,39.840904,39.565006,38.271103,36.776104,"-2.5%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.6.co2fee15-d022318a,"GW",89.510506,84.3675,81.568108,80.630302,77.144905,70.787209,67.343208,62.87141,54.8102,52.274002,47.794201,46.823029,45.814499,47.232502,44.838505,45.210503,45.747803,46.851799,42.862083,41.01228,40.436096,41.500099,45.653999,44.3325,42.128498,40.572498,38.3353,37.308403,37.199512,38.590263,35.210258,29.264296,24.780903,22.898203,22.204433,"-4.0%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.6.co2fee25-d022318a,"GW",89.510506,84.3675,81.568108,80.630302,76.67791,70.959908,67.404312,64.444206,57.854305,49.082504,47.130005,50.432304,46.897701,47.574604,48.334606,48.122906,48.730202,43.783401,42.252102,38.521103,36.895252,35.529099,33.399902,32.112381,30.257587,27.911167,27.242029,26.194027,21.663502,19.925501,14.637084,11.956842,10.771048,9.222219,9.222219,"-6.5%"
Combined Cycle,"Electricity: Electric Power Sector: Capacity: Combined Cycle",62-AEO2018.7.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case,62-AEO2018.7.ref2018-d121317a,"GW",230.866272,240.68486,257.441071,265.842255,263.838501,261.815735,260.283112,262.395782,265.109283,265.7677,268.968628,270.766266,273.25705,276.023926,281.058472,286.538086,287.15564,288.212158,289.934082,290.986237,294.742981,297.774811,301.31134,302.829529,304.460571,309.300201,313.798218,320.000366,326.065887,333.332245,339.01474,340.620087,345.425995,350.278931,358.56604,"1.2%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combined Cycle": Reference case with Clean Power Plan,62-AEO2018.7.ref_cpp-d121317a,"GW",230.866272,240.68486,257.441071,265.842255,264.641693,262.260712,261.201324,263.050415,262.001709,262.756592,266.119843,266.500214,268.582855,274.161896,280.369751,280.865417,281.664856,280.914276,283.322174,284.970581,287.987366,290.990295,296.081909,299.791107,302.768311,308.903595,314.307251,316.663635,315.352509,319.146484,325.404694,332.466949,338.362244,343.530701,350.867737,"1.1%"
